ID,ENMO_Avg_Active_Days_MVPA192,ENMO_Avg_Active_Days_MVPA110,ENMO_Avg_All_Days_MVPA192,ENMO_Avg_All_Days_MVPA110
0d01bbf2,7.607142857142857,21.586206896551722,7.0,18.91176470588235
cefdb7fe,3.142857142857143,10.19047619047619,2.875,9.869565217391305
58391429,1.75,2.4,1.75,2.3333333333333335
2ca2206f,5.64,13.7,5.964285714285714,13.5
19455336,9.375,19.7,8.777777777777779,18.166666666666668
ca33a5e7,5.0,7.5,5.0,5.666666666666667
92bb8516,10.625,23.875,7.428571428571429,13.9375
2812951b,22.166666666666668,45.5,16.36842105263158,29.363636363636363
6b6467f4,,,5.0,13.0
9d6b1410,28.266666666666666,43.375,28.266666666666666,43.375
22c72c4e,,,7.0,20.0
b3b200af,3.875,10.083333333333334,3.875,10.083333333333334
ebf30e46,26.5,31.666666666666668,16.25,13.904761904761905
2a0b8386,15.11111111111111,20.8,15.11111111111111,20.8
71c1b1d2,6.363636363636363,20.636363636363637,5.6923076923076925,17.214285714285715
e683d2c9,24.0,41.0,15.0,26.5
bebff291,8.294117647058824,22.444444444444443,8.294117647058824,22.444444444444443
d4d2f272,3.3636363636363638,6.529411764705882,3.3636363636363638,6.529411764705882
81d3ab22,,,,1.0
051680a0,16.576923076923077,38.30769230769231,15.785714285714286,33.96666666666667
1aff6762,1.8333333333333333,7.4,1.8333333333333333,7.363636363636363
a0522c83,4.055555555555555,11.619047619047619,4.055555555555555,11.136363636363637
b447e66d,14.818181818181818,38.0,14.869565217391305,37.73913043478261
90161e10,5.0,6.0,5.0,6.0
adbd6839,18.4,42.8,17.761904761904763,41.523809523809526
3e5d5b58,8.25,21.0,7.1,15.333333333333334
cd68643b,6.454545454545454,23.09090909090909,6.260869565217392,22.434782608695652
af4f064e,5.526315789473684,13.045454545454545,5.526315789473684,12.083333333333334
554e46e9,,,4.0,5.0
8f21c613,8.35483870967742,24.727272727272727,8.125,24.08823529411765
3826be66,13.772727272727273,34.0,13.0,32.25
2898269f,22.363636363636363,52.36363636363637,22.363636363636363,52.36363636363637
43f5d3c5,12.461538461538462,16.35,11.117647058823529,14.851851851851851
76fb4afb,24.666666666666668,40.63157894736842,24.666666666666668,38.95
fc2c2c08,6.785714285714286,19.0,6.785714285714286,18.1
1837456f,9.5625,30.0,8.833333333333334,27.52777777777778
4bc2bee9,7.1,29.866666666666667,7.0,29.677419354838708
a402c6c8,18.272727272727273,43.34782608695652,17.608695652173914,42.125
035c96dd,4.0,10.8,4.0,10.8
29587a31,11.666666666666666,23.9,11.666666666666666,22.09090909090909
ab16a20d,12.1,30.6,11.545454545454545,29.545454545454547
fa34f945,,2.25,1.0,2.2
c9600298,3.1666666666666665,13.476190476190476,3.0,13.136363636363637
070386b2,7.5,20.714285714285715,7.3076923076923075,20.6
91656d27,,,2.0,3.0
3f1f23e7,17.72222222222222,40.8,17.157894736842106,40.0
e46417a7,12.727272727272727,34.68181818181818,12.64,26.903225806451612
7b0a4060,18.62857142857143,41.628571428571426,18.62857142857143,40.75
5f574f3d,10.25,24.043478260869566,10.25,24.043478260869566
8c1f9196,2.727272727272727,6.176470588235294,2.5833333333333335,6.388888888888889
5e57bd12,,,,1.0
d3da09e8,3.111111111111111,11.0,3.111111111111111,10.666666666666666
4a9f92ca,10.75,28.607142857142858,10.758620689655173,28.482758620689655
7e87087b,5.0,5.222222222222222,5.0,5.222222222222222
8a77c3e9,10.941176470588236,29.705882352941178,10.941176470588236,29.705882352941178
5779f2e9,7.833333333333333,27.666666666666668,7.833333333333333,27.666666666666668
93904b23,4.1,10.484848484848484,4.1,9.971428571428572
98413061,14.2,35.6,14.0,34.666666666666664
fa633e39,26.0,6.857142857142857,16.0,7.25
c3d46daf,1.3333333333333333,8.384615384615385,1.3333333333333333,8.384615384615385
d8037389,4.2,8.583333333333334,4.2,8.583333333333334
b7c410a9,8.15,19.363636363636363,8.15,19.363636363636363
bc66f41d,4.105263157894737,15.666666666666666,3.95,14.695652173913043
6a4df6ff,8.0,23.0,4.75,10.166666666666666
641697e6,7.571428571428571,29.304347826086957,7.695652173913044,28.28
089a6b19,9.692307692307692,23.0,9.071428571428571,20.5625
1f65fa82,6.421052631578948,21.17391304347826,6.2,20.75
66f619e3,17.666666666666668,34.25,17.666666666666668,27.6
c79039af,4.25,6.153846153846154,4.25,5.928571428571429
0bd89878,20.235294117647058,44.911764705882355,20.17142857142857,44.74285714285714
cb2752bc,8.705882352941176,18.05263157894737,8.705882352941176,18.05263157894737
1c5ba087,6.25,9.0,8.142857142857142,9.272727272727273
54945f30,10.571428571428571,23.285714285714285,13.0,28.375
5132511c,4.909090909090909,9.05,4.909090909090909,9.05
0a431608,6.846153846153846,14.142857142857142,6.428571428571429,13.636363636363637
b1de4423,4.833333333333333,10.11111111111111,4.428571428571429,9.5
a3bd8858,3.3333333333333335,8.0,3.3333333333333335,8.0
e1ccc3d1,13.38888888888889,38.44444444444444,13.210526315789474,36.1
94a1053b,4.153846153846154,12.571428571428571,4.857142857142857,13.181818181818182
fa9a0add,5.142857142857143,24.08695652173913,4.954545454545454,23.625
09331bb8,8.466666666666667,19.8125,8.125,19.294117647058822
18b8b2f6,9.380952380952381,26.318181818181817,9.380952380952381,26.318181818181817
045a0a94,1.0,5.0,1.3333333333333333,5.857142857142857
e21255e2,3.25,5.333333333333333,2.8,4.857142857142857
930c567c,5.666666666666667,20.166666666666668,5.666666666666667,17.428571428571427
fd028ecc,2.5555555555555554,11.0,2.5555555555555554,10.904761904761905
e51193d1,11.3125,21.8125,10.882352941176471,19.77777777777778
9d65adbf,6.0,10.0,6.0,5.5
1cd37b36,,,4.0,9.0
a0182b17,8.352941176470589,16.941176470588236,8.352941176470589,16.941176470588236
87050a09,10.1,25.833333333333332,8.461538461538462,21.0625
649ff6d9,12.1,26.151515151515152,11.53125,25.085714285714285
6f5677b7,8.88888888888889,22.05,8.88888888888889,21.19047619047619
6e1d28b6,21.620689655172413,41.2,21.2,40.935483870967744
4d5a8ce7,2.6923076923076925,13.272727272727273,2.4375,10.612903225806452
9ebb73c7,17.8,35.6,12.75,23.333333333333332
e0db55b1,,1.0,,2.0
f47a67cc,7.0,13.0,15.0,21.0
7494989e,14.8,33.6,14.0,33.666666666666664
0a418b57,9.0,22.05,8.454545454545455,17.48148148148148
